,State,City,Location,Store Type,Address,Endpoint
241,New York,Albany,Crossgates Mall,"Gap,babyGap,GapKids,GapBody","1 Crossgates Mall Rd A107,Albany, NY 12203",https://www.gap.com/stores/ny/albany/
242,New York,Astoria,STEINWAY ST-ASTORIA,Gap Factory Store,"31-48 Steinway Street ,Astoria, NY 11103",https://www.gap.com/stores/ny/astoria/
243,New York,Bellport,BELLPORT OUTLET CNT,Gap Factory Store,"10 Farber Drive Space 75,Bellport, NY 11713",https://www.gap.com/stores/ny/bellport/
244,New York,Bridgehampton,BRIDGEHAMPTON,"Gap,babyGap,GapKids,GapBody","2044 Montauk Highway Ste 1,Bridgehampton, NY 11932",https://www.gap.com/stores/ny/bridgehampton/
245,New York,Brooklyn,GATEWAY II,Gap Factory Store,"528 Gateway Drive ,Brooklyn, NY 11239",https://www.gap.com/stores/ny/brooklyn/
246,New York,Brooklyn,BAY RIDGE,Gap Factory Store,"423 86th Street ,Brooklyn, NY 11209",https://www.gap.com/stores/ny/brooklyn/
247,New York,Brooklyn,FLATBUSH,Gap Factory Store,"1016 Flatbush Ave ,Brooklyn, NY 11226",https://www.gap.com/stores/ny/brooklyn/
248,New York,Brooklyn,FULTON STREET MALL,Gap Factory Store,"400 Fulton Street ,Brooklyn, NY 11201",https://www.gap.com/stores/ny/brooklyn/
249,New York,Brooklyn,86th St - Bensonhurst,Gap Factory Store,"2101 86th Street Suite 2109,Brooklyn, NY 11214",https://www.gap.com/stores/ny/brooklyn/
250,New York,Central Valley,Woodbury Commons,Gap Factory Store,"470 Dune Rd ,Central Valley, NY 10917",https://www.gap.com/stores/ny/centralvalley/
251,New York,Cheektowaga,WALDEN GALLERIA,"Gap,babyGap,GapKids,GapBody","1 Galleria Dr L212,Cheektowaga, NY 14225-5134",https://www.gap.com/stores/ny/cheektowaga/
252,New York,Deer Park,Tanger Deer Park,Gap Factory Store,"701 The Arches Circle ,Deer Park, NY 11729",https://www.gap.com/stores/ny/deerpark/
253,New York,Elmhurst,QUEENS CENTER,"Gap,babyGap,GapKids,GapBody","90-15 Queens Blvd H407,Elmhurst, NY 11373",https://www.gap.com/stores/ny/elmhurst/
254,New York,Forest Hills,FOREST HILLS,Gap Factory Store,"6939 Austin Street ,Forest Hills, NY 11375",https://www.gap.com/stores/ny/foresthills/
255,New York,Garden City,GALLERY@WESTBURY PLZ,Gap Factory Store,"1060a Old Country Road ,Garden City, NY 11530",https://www.gap.com/stores/ny/gardencity/
256,New York,Garden City,ROOSEVELT FIELD,"Gap,babyGap,GapKids,GapBody","630 Old Country Road Ste #1130,Garden City, NY 11530-3402",https://www.gap.com/stores/ny/gardencity/
