Unnamed: 0,Review_ID,Review_Text,Filled_Stars,Review_Time,filename
0,ChdDSUhNMG9nS0VJQ0FnSUNabzk3OG5nRRAB,Great selection of blouses for my daughter.,5,2023,Michigan_Howell_HOWELL (KENSINGTON).csv
1,ChdDSUhNMG9nS0VJQ0FnSURwNS1qY2h3RRAB,Meh..on line is better for this store,3,2023,Michigan_Howell_HOWELL (KENSINGTON).csv
2,ChdDSUhNMG9nS0VJQ0FnSUNBeHJMeDNRRRAB,Clean store and we were happy to find the sizes needed. Not a large men's selection but good sales. The staff on the floor is not very friendly they are so focused on keeping the store organized you don't even get a friendly greeting. Purchasing items was fast and the cashier was friendly.,4,2018,Michigan_Howell_HOWELL (KENSINGTON).csv
3,ChdDSUhNMG9nS0VJQ0FnSUM2Mzh6TmpRRRAB,"Had to make a return.  I  would have preferred exchanging but it seems  most of the women's items in store are in petite sizes. I prefer shopping  in store so I can try on, but the selection just isn't there.",4,2021,Michigan_Howell_HOWELL (KENSINGTON).csv
4,ChZDSUhNMG9nS0VJQ0FnSUMwMXJHM0ZREAE,Would have been amazing to have been offered some help! First time shoppers and very unfamiliar with the store we needed assistance and because three ladies were sitting at the desk unwilling to help we decided to find an outfit elsewhere.,2,2019,Michigan_Howell_HOWELL (KENSINGTON).csv
5,ChdDSUhNMG9nS0VJQ0FnSUNDNmJDWF9nRRAB,"The stsff on the floor, in the dressing room, and throughout the store and at thec check out were excellent and helpful!  They alkway are and very fruebdlyvan d helpful!  Gillian",5,2020,Michigan_Howell_HOWELL (KENSINGTON).csv
6,ChdDSUhNMG9nS0VJQ0FnSUNJcG9TeHB3RRAB,My go to store a for clothing. Classic styles sometimes with a bit of an edge. Long lasting quality. 50% off clearance sales are amazing.,5,2019,Michigan_Howell_HOWELL (KENSINGTON).csv
7,ChdDSUhNMG9nS0VJQ0FnSUNCc2Q3UXJRRRAB,Great quality and price!!,5,2023,Michigan_Howell_HOWELL (KENSINGTON).csv
8,ChRDSUhNMG9nS0VJQ0FnSUNHdW94dxAB,Very nice clothes helpful staff. The prices seemed a bit high though.,4,2022,Michigan_Howell_HOWELL (KENSINGTON).csv
9,ChZDSUhNMG9nS0VJQ0FnSUNDcE55NklBEAE,I really don't want to be followed around when shopping.. just looking at something and somebody comes up behind you and says that looks nice,3,2020,Michigan_Howell_HOWELL (KENSINGTON).csv
